
Host: LaComputadora

Timers On : Tue Dec 10 16:42:43 2024
Timers Off: Tue Dec 10 16:42:44 2024

Wall Time:        1.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: LaComputadora

Timers On : Tue Dec 10 16:43:29 2024
Timers Off: Tue Dec 10 16:43:31 2024

Wall Time:        1.71 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: LaComputadora

Timers On : Tue Dec 10 16:43:20 2024
Timers Off: Tue Dec 10 16:44:20 2024

Wall Time:       60.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.412w     46 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.806w    322 calls
DFH: initialize()                   :      0.000u      0.000s      4.140w     46 calls
DFH: AO Construction                :      0.000u      0.000s      0.364w     46 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.222w     46 calls
HF: Form core H                     :      0.000u      0.000s      1.157w     46 calls
HF: Form S/X                        :      0.000u      0.000s      0.041w     46 calls
HF: Guess                           :      0.000u      0.000s      4.745w     46 calls
SAD Guess                           :      0.000u      0.000s      4.676w     36 calls
HF: Form G                          :      0.000u      0.000s      0.574w    427 calls
JK: D                               :      0.000u      0.000s      0.007w    427 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w    427 calls
JK: JK                              :      0.000u      0.000s      0.546w    427 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.542w    427 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    427 calls
DFH: compute_J                      :      0.000u      0.000s      0.137w    427 calls
DFH: compute_K                      :      0.000u      0.000s      0.334w    427 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    427 calls
HF: Form F                          :      0.000u      0.000s      0.008w    427 calls
HF: Form D                          :      0.000u      0.000s      0.006w    427 calls
HF: DIIS                            :      0.000u      0.000s      5.716w    391 calls
HF: Form C                          :      0.000u      0.000s      0.523w    391 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.035w     46 calls
Grad: S                             :      0.000u      0.000s      0.010w     46 calls
Grad: JK                            :      0.000u      0.000s      4.292w     46 calls
JKGrad: Amn                         :      0.000u      0.000s      1.746w     46 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     46 calls
JKGrad: AB                          :      0.000u      0.000s      0.718w     46 calls
JKGrad: UV                          :      0.000u      0.000s      0.052w     46 calls
